COUNTRY,EDATE,PARTY,PERVOTE,VOTEEST,PRESVOTE,ABSSEAT,TOTSEATS,PROGTYPE,PER101,PER102,PER103,PER104,PER105,PER106,PER107,PER108,PER109,PER110,PER201,PER202,PER203,PER204,PER301,PER302,PER303,PER304,PER305,PER401,PER402,PER403,PER404,PER405,PER406,PER407,PER408,PER409,PER410,PER411,PER412,PER413,PER414,PER415,PER416,PER501,PER502,PER503,PER504,PER505,PER506,PER507,PER601,PER602,PER603,PER604,PER605,PER606,PER607,PER608,PER701,PER702,PER703,PER704,PER705,PER706,PERUNCOD,TOTAL,RILE,PLANECO,MARKECO,WELFARE,INTPEACE
11,19/9/1948,11220,6.31158979229392,0,99.99,8,230,1,2,0,10,0,0,10,0,0,0,0,4,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,2,0,0,0,0,6,12,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,99.99,50,-44,8,2,18,10
11,19/9/1948,11320,46.1320740367792,0,99.99,112,230,1,0.8,0,0,0,0,1.7,1.7,0.8,0,0,1.7,5,0,0,0,0,0,0,0,3.3,0,4.2,0,3.3,0,0,8.3,0,2.5,0,2.5,0,2.5,0,0,0,3.3,2.5,18.3,0,7.5,0,0,0,0,0,0,0,0.8,0,0,0,19.2,0,0,0.8,99.99,120,-33.4,6.7,5.8,20.8,1.7
11,19/9/1948,11420,22.7491375978959,0,99.99,57,230,1,2.3,0,0,1.2,1.2,3.4,1.2,2.3,0,0,13.8,3.4,0,0,0,0,1.2,0,0,10.3,3.4,2.3,0,0,0,0,3.4,0,1.2,0,0,0,3.4,0,0,0,0,5.8,1.2,1.2,3.4,0,0,0,2.3,0,0,3.4,2.3,0,0,0,3.4,0,0,2.3,99.99,87,22.9,2.3,13.7,7,4.6
11,19/9/1948,11620,12.3430551914145,0,99.99,23,230,1,0,0,0,3.1,0,3.1,0,0,0,0,9.4,3.1,0,0,3.1,0,15.6,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6.3,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,34,56.3,0,50,0,3.1
11,19/9/1948,11810,12.3852053278804,0,99.99,30,230,1,0.7,0,0,2.9,0,0.7,0,0.7,0,0,1.4,2.1,0,0,0,0,2.9,0,0,7.1,1.4,1.4,0,0,2.1,0,2.9,0,0,4.3,2.1,0,2.1,0,0,0,0,2.1,11.4,0,5.7,0,1.4,0,3.6,0,0,0.7,1.4,0,0,0,31.4,0,0,1.4,99.99,140,-4.9,3.5,9.2,13.5,0.7
11,21/9/1952,11220,4.33950091801506,0,99.99,5,230,1,3.3,4.4,3.3,0,3.3,33,2.2,0,1.1,2.2,9.9,2.2,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,6.6,0,0,0,2.2,0,3.3,0,0,0,0,1.1,7.7,0,0,0,3.3,0,0,0,0,0,0,0,2.2,0,0,0,0,0,99.99,91,-40.7,3.3,3.3,8.8,40.7
11,21/9/1952,11320,46.0470115682848,0,99.99,110,230,1,2.5,0,0,3.3,0,2.5,1.7,0,0,0,2.5,6.7,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0.8,5.8,0.8,4.2,0.8,0,4.2,0,0,0,1.7,3.3,17.5,0,8.3,0,0,0,0,0,0,0,0.8,0,0,0,13.3,0,0,0,99.99,120,-28.3,1.6,4.2,20.8,2.5
11,21/9/1952,11420,24.4421410008756,0,99.99,58,230,1,0.9,0,0,0.9,0,0.9,0.9,0,0,0,3.8,2.8,0,0,0,0,0.9,0,0,7.6,1.9,0.9,0,0,0,0,4.7,0.9,0.9,0.9,0,0,8.5,0,0,0,0,4.7,17,9.4,3.8,0,0,0,9.4,0,0.9,0,2.8,0,0,0,2.8,0,0,0.9,99.99,106,16.1,0.9,16.1,21.7,0.9
11,21/9/1952,11620,14.3728095225132,0,99.99,31,230,1,0,0,0,0,0,0,0,0,0,0,9,4.1,0,0,4.9,0,0,0,0,9.8,4.9,0,0,0,0,0,5.7,0,0,0,0,0,22.1,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,122,40.9,0,31.9,0.8,0
11,21/9/1952,11810,10.7350542734942,0,99.99,26,230,1,0,0,0,1.3,0,2.7,1.3,0,0,0,0,0,0,0,2.7,0,0,0,0,2.7,4.1,0,0,2.7,0,0,1.3,2.7,4.1,6.8,0,0,10.8,0,0,1.3,1.3,4.1,9.5,1.3,8.1,0,1.3,0,1.3,0,0,0,2.7,0,0,0,18.9,0,0,0,99.99,64,1.2,0,13.5,13.6,2.7
